id,employee_id,username,first_name,last_name,email,password_plain,password_md5,password_sha256_salted,salt,role,department,phone,city,is_active,email_verified,two_factor_enabled,created_at,last_login
1,NX00001,nicolas.guerin,Nicolas,Guérin,nicolas.guerin@nexlink.fr,User242!,b2a9568a5e07f49122bf07886c40e1ae,7f99df3533e7856f7db764c09c9d78bb26566168bc94ee147898596e09cd613c,b8d3d51a6f7ab122,admin,Marketing,+33614265799,Paris,True,True,False,2022-04-24,2023-08-05
2,NX00002,charles.dupont,Charles,Dupont,charles.dupont@nexlink.fr,P@ssw0rd63,bffb2a6713ed17aff3e647491a399fd2,6b302464a8135b0d34770d6fead4fae3fa384f6f3974b4f2bf441b5e0d7afd57,64614d18a3bde17a,user,Legal,+33610872248,Rouen,True,False,False,2022-04-21,2023-05-23
3,NX00003,cecile.fournier,Cécile,Fournier,cecile.fournier@nexlink.fr,Michael444!,cf06d7517c7f897b781d82bebaca3244,ca2659420d13f3b721927e15d59e1c353de952a7b5e455122c0667c34f919a57,e233576c28f0b0f9,user,IT,+33656164955,Rennes,True,True,True,2019-07-18,2023-07-03
4,NX00004,isabelle.david,Isabelle,David,isabelle.david@nexlink.fr,passwordmaster38,cf90b99c4e94ed1bc2f2e8f87256b4b1,a3c88acaac58e0f75cad6c194b18cf00f9685193c64ef763c534d38d02c15756,afd49c5ff8a315de,user,R&D,+33619335534,Paris,True,True,False,2020-01-29,2023-12-27
5,NX00005,robin.lefebvre,Robin,Lefebvre,robin.lefebvre@nexlink.fr,123dragon82,ae7d1f446c33cde62fd52925890d61b0,0ec23a6718133831d2bbb5785968ae0aaeae31691275ea0d006db92a27dee265,b744db0e3baccbfb,user,Finance,+33638119557,Montpellier,True,False,True,2021-01-28,2023-07-01
6,NX00006,patrick.girard,Patrick,Girard,patrick.girard@nexlink.fr,P@ssw0rd41,a7b698afc9abaca6c1d51013da40e0a3,c7e4756082abd9387cfba74b70a2374a9760a2501a0ba62270717d26d8a95e11,7102ee0a5af422c5,user,Legal,+33695899313,Nice,True,False,False,2021-02-16,2023-05-19
7,NX00007,david.robert,David,Robert,david.robert@nexlink.fr,Nexlink7572!,527f0e558a54de85df865ae785396dec,248899c9aa8de90b973fa63dfc0f894a22c0d16d95234bcbb65c8288ff2aa903,fa6706ca1349a082,user,Marketing,+33652235350,Bordeaux,False,True,True,2020-03-08,2023-10-18
8,NX00008,manon.rousseau,Manon,Rousseau,manon.rousseau@nexlink.fr,User862*,d9c321c126d16cf3dba47653a61658c4,3d4c5f3b77f4aa3943e976d11c490bb1957ebf4baa570779cdfe75667aceddbf,6cc861fc2febf361,admin,Sales,+33688320463,Strasbourg,True,True,False,2022-04-12,2023-08-08
9,NX00009,laura.petit,Laura,Petit,laura.petit@nexlink.fr,202390,cc2de646005d79c76ce67733f73e20d9,b9736061bf151de4c9e391e3875375b7b3fce793dfa6b3b3cdf0e39b4dcbf14b,68e0fb48eb5c7e7b,user,Communication,+33690048665,Lyon,False,True,True,2022-10-25,2023-08-05
10,NX00010,anne.faure,Anne,Faure,anne.faure@nexlink.fr,P@ssw0rd11,0d99c859d723472e648fea19f8b37637,116afee6256ff242b4a85f0a11ec8f62f0b012bbcc343449ddf36889d0ece342,9dbbe5fb9ced61ea,user,Management,+33696028436,Nantes,True,True,False,2022-01-04,2023-05-17
11,NX00011,adrien.martin,Adrien,Martin,adrien.martin@nexlink.fr,Nexlink9201!,b392ee722ac60020b978b1c8cd68fce3,e2180a307d9246414ae65eb8729daa1abcca6420e0f5d7da8649070d0e82a3ad,802e5bb5272d14f9,user,Operations,+33650056581,Reims,True,True,False,2019-08-06,2023-11-17
12,NX00012,paul.noel,Paul,Noel,paul.noel@nexlink.fr,iloveyou51,a73293b7d271ba6b05cf263c438530ba,bff2f42ec4a5e41afe03214ff22c76f31a4a48b93bd629cd663d2da16f8f56b3,0932cfee969eceea,manager,Engineering,+33651273847,Bordeaux,True,True,True,2019-08-18,2023-07-05
13,NX00013,francois.roy,François,Roy,francois.roy@nexlink.fr,michael78,a07a7765b6ce9ce764bd6444bcc8b468,7133f1bc0a02c08a93b0e9f7b34734ea24ed347172f851355fd82a4feac65058,a2d95c63f62183c3,user,Finance,+33683793389,Marseille,True,False,True,2022-09-13,2023-09-01
14,NX00014,pauline.riviere,Pauline,Rivière,pauline.riviere@nexlink.fr,Shadow419$,22fa5dcc43e15365a342c1fc734d9b58,27d64af949917a45ef92b10e89ee600dff0d269e077c8e47b85ccab5f1b41d46,81acf95bc3dd3f27,user,Legal,+33626240908,Bordeaux,True,True,False,2021-11-25,2023-08-20
