NEXLINK – Index des contrats employés
Confidentiel RH – Ne pas diffuser

ID | Nom                    | Type       | Début      | Salaire mensuel brut
---|------------------------|------------|------------|--------------------
001| MARTIN David           | CDI cadre  | 2019-01-15 | 7 200 EUR
002| LEMAIRE Sophie         | CDI cadre  | 2019-03-01 | 5 800 EUR
003| ROUX Alexis            | CDI        | 2020-06-15 | 3 900 EUR
004| GIRARD Léa             | CDI        | 2021-01-10 | 3 600 EUR
005| MOREL Nicolas          | CDD        | 2022-09-01 | 3 400 EUR
006| THOMAS Julie           | Stage      | 2023-06-01 | 800 EUR
007| BERNARD Sophie         | CDI cadre  | 2019-05-20 | 6 100 EUR
008| DUPONT Jean-Marc       | CDI        | 2020-11-01 | 4 200 EUR
009| LEFÈVRE Manon          | CDI        | 2021-07-15 | 3 750 EUR
010| GARNIER Paul           | CDI cadre  | 2018-02-10 | 8 500 EUR (DG)
